"YearCE" "Conflict" "Monuments" "Monuments_adj" "Cariaco_Rub_SST" "Cariaco_Bull_SST" "YokCave_d18O"
563 0 1 1 27.9581 26.5824 -3.74
564 1 2 2 27.8256 26.5785 -3.72
565 0 0 0 28.0395 26.5746 -3.54
566 0 0 0 28.2431 26.5708 -3.685
567 0 0 0 28.0917 26.5669 -3.61
568 0 0 0 28.0161 26.563 -3.615
569 0 0 0 27.9695 26.5615 -3.8
570 0 0 0 27.9653 26.5692 -3.935
571 0 0 0 28.0766 26.5769 -3.83
572 0 0 0 28.0329 26.5847 -3.925
573 0 0 1 27.9017 26.5924 -3.925
574 1 5 5 27.9564 26.6001 -3.97
575 0 0 0 28.0333 26.6158 -4
576 0 0 0 28.0409 26.7421 -4.22
577 0 0 0 28.0434 26.8669 -4.14
578 0 0 0 28.0219 26.9903 -4.16
579 0 0 0 28.0152 27.1124 -4.15
580 0 0 0 28.0426 27.2331 -4.21
581 0 0 0 28.0679 27.3525 -4.405
582 0 1 1 28.1248 27.4373 -4.35
583 0 0 0 28.085 27.519 -4.51
584 0 0 0 27.9829 27.6002 -4.465
585 0 0 0 28.0611 27.6808 -4.35
586 0 0 0 28.2596 27.7608 -4.5
587 0 0 0 28.3845 27.8402 -4.54
588 0 0 0 28.4671 27.7177 -4.495
589 0 0 0 28.3572 27.5424 -4.315
590 0 0 0 28.2691 27.3642 -4.14
591 0 1 1 28.2971 27.183 -4.265
592 0 0 0 28.3129 26.9988 -4.225
593 0 7 7 28.307 26.8114 -4.00666666666667
594 0 0 1 28.3101 26.7532 -3.77
595 0 0 0 28.3206 26.7608 -3.805
596 0 0 1 28.3436 26.7684 -3.95666666666667
597 1 0 1 28.3712 26.776 -3.775
598 0 0 0 28.2825 26.7836 -3.73
599 1 0 1 28.1675 26.7912 -3.7
600 0 0 0 28.264 26.8189 -3.69
601 0 0 0 28.3267 26.8642 -3.645
602 0 1 1 28.2177 26.9092 -3.62333333333333
603 1 3 3 28.187 26.9541 -3.58666666666667
604 0 0 0 28.2954 26.9988 -3.42
605 0 0 0 28.3702 27.0433 -3.38333333333333
606 0 0 0 28.3405 27.1008 -3.56
607 0 0 0 28.1846 27.1778 -3.565
608 0 1 1 28.0256 27.2542 -3.79666666666667
609 0 0 0 28.0664 27.3301 -3.97666666666667
610 0 0 0 28.1472 27.4054 -4.25
611 1 0 1 28.006 27.4803 -4.35333333333333
612 0 0 0 27.9286 27.5358 -4.465
613 0 8 8 28.1914 27.5394 -4.415
614 0 0 0 28.2974 27.543 -4.65333333333333
615 0 1 1 28.1403 27.5466 -4.42
616 0 0 0 28.0802 27.5503 -4.475
617 0 0 0 28.092 27.5539 -4.565
618 0 0 0 28.129 27.5514 -4.41666666666667
619 0 0 0 28.1781 27.5089 -4.65333333333333
620 0 0 0 28.2979 27.4663 -4.63666666666667
621 0 0 0 28.461 27.4234 -4.735
622 0 0 0 28.3286 27.3805 -4.66666666666667
623 0 7 7 28.2429 27.3373 -4.51
624 0 0 0 28.3314 27.294 -4.36666666666667
625 0 1 1 28.4173 27.2928 -4.24666666666667
626 2 0 2 28.4443 27.2916 -4.405
627 2 0 2 28.5211 27.2905 -4.73
628 0 3 3 28.6414 27.2893 -4.81
629 0 0 0 28.5883 27.2881 -4.78333333333333
630 0 0 0 28.423 27.2869 -4.59
631 2 0 2 28.443 27.2053 -4.53333333333333
632 1 0 1 28.4617 27.1106 -4.19666666666667
633 0 6 6 28.4589 27.0151 -4.225
634 0 0 0 28.4924 26.9187 -4.05
635 0 0 0 28.5746 26.8214 -4.095
636 1 0 1 28.5893 26.7233 -4.04666666666667
637 0 1 1 28.5558 26.7115 -4.32
638 0 2 2 28.5065 26.7313 -4.305
639 0 0 0 28.443 26.751 -4.255
640 0 0 0 28.5277 26.7707 -4.20333333333333
641 0 0 0 28.6554 26.7904 -4.115
642 0 0 0 28.6124 26.8101 -4.06
643 0 11 11 28.5695 26.8292 -4.16
644 1 0 1 28.5593 26.8481 -4.35333333333333
645 1 1 1 28.5012 26.8669 -4.475
646 0 2 2 28.3833 26.8857 -4.28666666666667
647 0 4 4 28.3755 26.9045 -4.67666666666667
648 1 1 1 28.4242 26.9232 -4.58333333333333
649 1 0 1 28.4702 26.9958 -4.8
650 3 0 3 28.5211 27.1288 -4.87333333333333
651 0 1 1 28.7249 27.2602 -4.8
652 0 14 14 28.9834 27.39 -4.66666666666667
653 0 0 0 28.7474 27.5183 -4.75
