YearCE,MgCaRub,SSTRub,MgCaBull,SSTBull      
250,4.9491,27.9839,5.0438,27.6084
251,5.0035,27.929,5.0681,27.6607
252,5.0579,27.8826,5.0924,27.7127
253,5.1122,27.8944,5.0796,27.6853
254,5.1666,27.9054,4.9701,27.4485
255,5.221,28.0351,4.8607,27.2064
256,5.2753,28.1261,4.7512,26.9589
257,5.3129,28.1984,4.6677,26.7661
258,5.2666,28.3127,4.7139,26.8732
259,5.2203,28.4185,4.7601,26.9792
260,5.1741,28.4767,4.8064,27.0843
261,5.1254,28.3052,4.8465,27.1748
262,5.0371,28.091,4.7844,27.0346
263,4.9488,28.0413,4.7223,26.8926
264,4.8606,28.076,4.6602,26.7487
265,4.7871,28.059,4.6576,26.7426
266,4.7276,27.9546,4.7114,26.8675
267,4.6682,27.9499,4.7652,26.9909
268,4.669,28.1058,4.8,27.0699
269,4.7211,28.1664,4.8185,27.1117
270,4.7732,28.1073,4.837,27.1533
271,4.8254,28.0184,4.8555,27.1948
272,4.8775,28.0343,4.874,27.2361
273,4.9296,28.0445,4.8925,27.2773
274,4.9818,28.0258,4.9299,27.3602
275,5.0339,28.0192,4.9804,27.4709
276,5.086,28.0605,5.0308,27.5804
277,5.0604,28.0825,4.9854,27.4817
278,4.9872,28.2941,4.8811,27.252
279,4.914,28.3916,4.7768,27.0173
280,4.8408,28.2863,4.8683,27.2235
281,4.7676,28.0656,5.0667,27.6578
282,4.6944,27.9709,5.2652,28.0753
283,4.7889,28.0372,5.2349,28.0126
284,4.9649,28.0231,5.0936,27.7153
285,5.1409,27.9429,4.9524,27.4096
286,5.1107,27.8928,4.9171,27.3318
287,4.9922,27.9087,4.9272,27.3541
288,4.8737,27.9267,4.9372,27.3763
289,4.8632,27.9489,4.9327,27.3662
290,4.8932,27.9971,4.9226,27.344
291,4.9233,28.0668,4.9125,27.3217
292,4.8274,28.0627,4.9277,27.3554
293,4.6903,28.0068,4.9513,27.4072
294,4.5533,27.9336,4.9748,27.4587
295,4.5959,27.8513,5.0771,27.6799
296,4.6892,27.8365,5.2015,27.9431
297,4.7826,27.9691,5.3259,28.2
298,4.8121,28.2043,5.3988,28.3478
299,4.8264,28.1386,5.4594,28.469
300,4.8407,28.0631,5.5199,28.5889
301,4.855,27.9931,5.4291,28.4086
302,4.8692,27.924,5.308,28.1634
303,4.8835,27.9807,5.187,27.9126
304,4.8788,28.1568,5.037,27.5936
305,4.8709,28.2568,4.8822,27.2546
306,4.863,28.2025,4.7275,26.9045
307,4.8552,28.0879,4.7368,26.9259
308,4.8473,27.9864,4.7671,26.9952
309,4.8394,27.9612,4.7974,27.064
310,4.8316,28.0155,4.8123,27.0977
311,4.8237,28.061,4.8257,27.128
312,4.8159,28.0254,4.8392,27.1583
313,4.808,27.9851,4.8242,27.1245
314,4.8001,28.0241,4.8074,27.0866
315,4.7923,28.0504,4.7906,27.0485
